date,location1,location2,location3,location4,location5,location6,location7,location8,location9,location10,location11,location12,location13,location14,location15,location16,location17,location18,location19,location20,location21,location22,location23,location24
5/23/2000,0.09,0.25,0.16,7.18,0.08,0.18,0.56,0.17,0.96,0.96,5.34,3.21,0.03,1.52,2.69,3.34,0.48,3.11,6.74,0.18,0.91,0.64,1.4,0.22
5/24/2000,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
5/25/2000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
5/26/2000,0.09,0.1,3.9,3.73,0.02,0.01,0.4,0.35,3.33,5.03,0.71,3.14,0.01,0.37,1.05,5.04,0,0.25,2.15,2.71,1.17,0.09,0.06,1.01
5/27/2000,3.72,5.31,0.01,0,11.89,13.29,1.42,1.15,0.07,0.01,0.1,0.05,7.36,1.24,0.19,0.01,10.56,0.91,0.03,0.06,0.25,5.3,4.12,0.21
5/28/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/2000,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0
5/30/2000,0,0,0,0.24,0,0,0,0,0,0,0.06,0.03,0,0,0.01,0.04,0,0.02,0.17,0,0,0,0,0
5/31/2000,0.17,0.41,1.62,6.98,0.14,0.32,0.87,0.36,1.51,1.8,7.04,3.45,0.06,2.17,3.43,3.4,0.86,4.67,7.27,1.05,1.38,1,2.31,0.6
6/1/2000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/2000,1.25,1.79,0.04,0.01,2.8,2.92,0.75,0.71,0.06,0.01,0.01,0.01,1.68,0.51,0.05,0,1.53,0.19,0.01,0.12,0.17,1.57,0.71,0.29
6/3/2000,1.32,2.93,0.13,0.42,2.2,4.11,2.83,1.31,0.66,0.22,2.38,0.96,0.93,4.22,2.39,0.32,5.59,4.39,1.03,0.32,1.66,4.8,5.57,0.75
6/4/2000,0,0,2.01,0.33,0,0,0.01,0.01,0.66,1.67,0.01,0.29,0,0.01,0.03,0.83,0,0,0.1,0.92,0.06,0,0,0.05
6/5/2000,0.05,0.01,2.07,0.04,0,0,0.05,0.17,0.35,0.56,0,0.06,0.02,0.01,0.03,0.11,0,0,0.01,1.25,0.16,0,0,0.48
6/6/2000,0,0,0.1,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
6/7/2000,0.15,0.05,12.01,2.2,0,0,0.3,0.69,4.29,8.23,0.07,1.95,0,0.08,0.29,4.66,0,0.02,0.7,6.92,0.95,0.01,0,1.98
6/8/2000,0.15,0.07,14.44,3.99,0.01,0,0.29,0.68,3.48,8.25,0.29,1.89,0.01,0.11,0.33,4.47,0.02,0.1,1.91,7.59,0.8,0.03,0.03,1.96
6/9/2000,0.41,0.95,6.79,16.18,0.7,1.14,1.56,0.76,7.03,10.51,6.77,10.06,0.27,2.72,5.12,14.23,1.24,3.37,12.18,4.58,2.87,1.59,1.81,1.57
6/10/2000,0.85,1.53,0.66,0.82,1.65,2.11,1.19,0.76,1.18,0.91,0.94,1.24,0.82,1.35,1.19,1,2.04,1.16,0.98,0.86,1.22,1.86,1.65,0.91
6/11/2000,0.14,0.05,0,0,0.43,0.41,0.01,0.04,0,0,0,0,0.45,0,0,0,0.24,0,0,0,0,0.02,0.01,0.01
